"","collection_id","sample_id","old_sample_id","photo_id_no","skeletal_sample","pub_author","pub_year","collection_period_from","collection_period_to","collection_date","extract_date","extract_method","collected_by","host_group","host_order","host_family","host_genus","host_species","host_id_date","host_id_by","host_id_method","host_id_changed_from_publication","host_id_changed_from","host_morphotype","corallite_size_mm","colony_sex","ocean","country","region","subregion","area","location","site","shelf_position","latitude","longitude","reef_type","avg_depth","depth_min","depth_max","sym_genus_1","sym_genus_2","sym_genus_3","sym_type_1","sym_type_2","sym_type_3","sym_type_id_year","sym_type_author","sym_type_changed_from","comment_field_coral_id","comment_symbiont_profile","comment_sample_processing"
"1","FN09","FN09_023",NA,"no_photo",NA,"Tonk","unpublished","2009","2009","40135",NA,NA,"Tonk","hard_coral","Scleractinia","Dendrophylliidae","Turbinaria","Turbinaria_peltata",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","fnGBR","cairns","Arlington_Reef",NA,"mid",-16.686,146.085,"upper slope","6","5","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","FN09","FN09_036",NA,"no_photo",NA,"Tonk","unpublished","2009","2009","40135",NA,NA,"Tonk","hard_coral","Scleractinia","Dendrophylliidae","Turbinaria","Turbinaria_sp",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","fnGBR","cairns","Arlington_Reef",NA,"mid",-16.686,146.085,"upper slope","6","5","7","Cladocopium",NA,NA,"C3",NA,NA,NA,NA,NA,NA,NA,NA
"3","MK08","MK08_101","MK08_B101",NA,NA,"Tonk","2017","2008","2008","39619",NA,NA,"Tonk","hard_coral","Scleractinia","Dendrophylliidae","Turbinaria","Turbinaria_mesenterina","2020","Sampayo",NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","sGBR","Hervey_Bay","Burkitts_Reef",NA,"inner",-24.812917,152.466559,NA,"3","3","3","Cladocopium",NA,NA,"C22a",NA,NA,"publication","Tonk",NA,NA,NA,NA
"4","MK08","MK08_111","MK08_B111",NA,NA,"Tonk","2017","2008","2008","39619",NA,NA,"Tonk","hard_coral","Scleractinia","Dendrophylliidae","Turbinaria","Turbinaria_patula","2020","Sampayo",NA,"yes","Turbinaria_peltata",NA,NA,NA,"Pacific","Australia","Eastern_Australia","sGBR","Hervey_Bay","Burkitts_Reef",NA,"inner",-24.812917,152.466559,NA,"3","3","3","Cladocopium",NA,NA,"C22a",NA,NA,"2019","Sampayo","unchanged",NA,NA,NA
"5","MK08","MK08_117","MK08_B117",NA,NA,"Tonk","2017","2008","2008","39619",NA,NA,"Tonk","hard_coral","Scleractinia","Dendrophylliidae","Turbinaria","Turbinaria_mesenterina","2020","Sampayo",NA,NA,NA,"wavy",NA,NA,"Pacific","Australia","Eastern_Australia","sGBR","Hervey_Bay","Burkitts_Reef",NA,"inner",-24.812917,152.466559,NA,"3","3","3","Cladocopium",NA,NA,"C1",NA,NA,"2019","Sampayo","unchanged",NA,NA,NA
"6","MK08","MK08_127","MK08_B127",NA,NA,"Tonk","2017","2008","2008","39619",NA,NA,"Tonk","hard_coral","Scleractinia","Dendrophylliidae","Turbinaria","Turbinaria_mesenterina","2020","Sampayo","photo","yes","Turbinaria_sp","wavy",NA,NA,"Pacific","Australia","Eastern_Australia","sGBR","Hervey_Bay","Burkitts_Reef",NA,"inner",-24.812917,152.466559,NA,"3","3","3","Cladocopium",NA,NA,"C1",NA,NA,"2019","Sampayo","unchanged",NA,NA,NA
"7","MK08","MK08_131","MK08_B131",NA,NA,"Tonk","2017","2008","2008","39619",NA,NA,"Tonk","hard_coral","Scleractinia","Dendrophylliidae","Turbinaria","Turbinaria_peltata","2020","Sampayo","photo",NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","sGBR","Hervey_Bay","Burkitts_Reef",NA,"inner",-24.812917,152.466559,NA,"3","3","3","Cladocopium",NA,NA,"C1pp",NA,NA,"2019","Sampayo","from C22a",NA,NA,NA
"8","MK08","MK08_147","MK08_B147",NA,NA,"Tonk","2017","2008","2008","39619",NA,NA,"Tonk","hard_coral","Scleractinia","Dendrophylliidae","Turbinaria","Turbinaria_mesenterina","2020","Sampayo","photo",NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","sGBR","Hervey_Bay","Burkitts_Reef",NA,"inner",-24.812917,152.466559,NA,"3","3","3","Cladocopium",NA,NA,"C22a",NA,NA,"2019","Sampayo","unchanged",NA,NA,NA
"9","MK08","MK08_148","MK08_B148",NA,NA,"Tonk","2017","2008","2008","39619",NA,NA,"Tonk","hard_coral","Scleractinia","Dendrophylliidae","Turbinaria","Turbinaria_mesenterina","2020","Sampayo","photo",NA,NA,"wavy",NA,NA,"Pacific","Australia","Eastern_Australia","sGBR","Hervey_Bay","Burkitts_Reef",NA,"inner",-24.812917,152.466559,NA,"3","3","3","Cladocopium",NA,NA,"C1","C22a",NA,"2019","Sampayo","from C22a",NA,NA,NA
"10","MK08","MK08_149","MK08_B149",NA,NA,"Tonk","2017","2008","2008","39619",NA,NA,"Tonk","hard_coral","Scleractinia","Dendrophylliidae","Turbinaria","Turbinaria_mesenterina","2023","Sampayo","photo",NA,NA,"wavy",NA,NA,"Pacific","Australia","Eastern_Australia","sGBR","Hervey_Bay","Burkitts_Reef",NA,"inner",-24.812917,152.466559,NA,"3","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","MK08","MK08_163","MK08_B163",NA,NA,"Tonk","2017","2008","2008","39619",NA,NA,"Tonk","hard_coral","Scleractinia","Dendrophylliidae","Turbinaria","Turbinaria_mesenterina","2023","Sampayo","photo",NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","sGBR","Hervey_Bay","Burkitts_Reef",NA,"inner",-24.812917,152.466559,NA,"3","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","MK08","MK08_172","MK08_B172",NA,NA,"Tonk","2017","2008","2008","39619",NA,NA,"Tonk","hard_coral","Scleractinia","Dendrophylliidae","Turbinaria","Turbinaria_peltata","2020","Sampayo","photo",NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","sGBR","Hervey_Bay","Burkitts_Reef",NA,"inner",-24.812917,152.466559,NA,"3","3","3","Cladocopium","Durusdinium",NA,"Symbiodinium_sp_ptlsK1-2","D1",NA,"publication","Tonk",NA,NA,NA,NA
"13","MK08","MK08_174","MK08_B174",NA,NA,"Tonk","2017","2008","2008","39619",NA,NA,"Tonk","hard_coral","Scleractinia","Dendrophylliidae","Turbinaria","Turbinaria_peltata","2018","Sampayo","photo","yes","Porites_sp",NA,NA,NA,"Pacific","Australia","Eastern_Australia","sGBR","Hervey_Bay","Burkitts_Reef",NA,"inner",-24.812917,152.466559,NA,"3","3","3","Cladocopium",NA,NA,"C22a",NA,NA,NA,NA,NA,NA,NA,NA
"14","MK08","MK08_180","MK08_B180",NA,NA,"Tonk","2017","2008","2008","39619",NA,NA,"Tonk","hard_coral","Scleractinia","Dendrophylliidae","Turbinaria","Turbinaria_peltata","2020","Sampayo","photo",NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","sGBR","Hervey_Bay","Burkitts_Reef",NA,"inner",-24.812917,152.466559,NA,"3","3","3","Cladocopium",NA,NA,"C22a",NA,NA,"publication","Tonk",NA,NA,NA,NA
"15","MK08","MK08_182","MK08_B182",NA,NA,"Tonk","2017","2008","2008","39619",NA,NA,"Tonk","hard_coral","Scleractinia","Dendrophylliidae","Turbinaria","Turbinaria_mesenterina","2020","Sampayo","photo","yes","Turbinaria_bifrons","wavy",NA,NA,"Pacific","Australia","Eastern_Australia","sGBR","Hervey_Bay","Burkitts_Reef",NA,"inner",-24.812917,152.466559,NA,"3","3","3","Cladocopium",NA,NA,"C1","C22a",NA,"2019","Sampayo","from C22a",NA,NA,NA
"16","AU18","AU18_0251",NA,"BB251",NA,"Sampayo","unpublished","2018","2018","43357","44866","Wizard/spin.col.cl.2024","Sims","hard_coral","Scleractinia","Dendrophylliidae","Turbinaria","Turbinaria_mesenterina",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nNSW","Tweed","Byron_Marine_Park","Mackerel Boulder","outer",-28.604968,153.628609,NA,"12.5","10","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","AU18","AU18_0254",NA,"BB254",NA,"Sampayo","unpublished","2018","2018","43357","44866","Wizard/spin.col.cl.2024","Sims","hard_coral","Scleractinia","Dendrophylliidae","Turbinaria","Turbinaria_patula",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nNSW","Tweed","Byron_Marine_Park","Mackerel Boulder","outer",-28.604968,153.628609,NA,"12.5","10","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","AU18","AU18_0256",NA,"BB256",NA,"Sampayo","unpublished","2018","2018","43357","44866","Wizard/spin.col.cl.2024","Sims","hard_coral","Scleractinia","Dendrophylliidae","Turbinaria","Turbinaria_patula",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nNSW","Tweed","Byron_Marine_Park","Mackerel Boulder","outer",-28.604968,153.628609,NA,"12.5","10","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","AU18","AU18_0257",NA,"BB257",NA,"Sampayo","unpublished","2018","2018","43357","44866","Wizard/spin.col.cl.2024","Sims","hard_coral","Scleractinia","Dendrophylliidae","Turbinaria","Turbinaria_patula",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nNSW","Tweed","Byron_Marine_Park","Mackerel Boulder","outer",-28.604968,153.628609,NA,"12.5","10","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","AU18","AU18_0260",NA,"BB260",NA,"Sampayo","unpublished","2018","2018","43357","44866","Wizard/spin.col.cl.2024","Sims","hard_coral","Scleractinia","Dendrophylliidae","Turbinaria","Turbinaria_mesenterina",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nNSW","Tweed","Byron_Marine_Park","Mackerel Boulder","outer",-28.604968,153.628609,NA,"12.5","10","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","AU18","AU18_0288",NA,"BB288",NA,"Sampayo","unpublished","2018","2018","43357","44866","Wizard/spin.col.cl.2024","Sims","hard_coral","Scleractinia","Dendrophylliidae","Turbinaria","Turbinaria_mesenterina",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nNSW","Tweed","Byron_Marine_Park","Julian_Rocks","inner",-28.610826,153.628258,NA,"12.5","10","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","AU18","AU18_0319",NA,"BB319",NA,"Sampayo","unpublished","2018","2018","43357","44866","Wizard/spin.col.cl.2024","Sims","hard_coral","Scleractinia","Dendrophylliidae","Turbinaria","Turbinaria_mesenterina",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nNSW","Tweed","Byron_Marine_Park","Julian_Rocks","inner",-28.610826,153.628258,NA,"12.5","10","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","AU18","AU18_0331",NA,"BB331",NA,"Sampayo","unpublished","2018","2018","43357","44866","Wizard/spin.col.cl.2024","Doropoulos","hard_coral","Scleractinia","Dendrophylliidae","Turbinaria","Turbinaria_patula",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nNSW","Tweed","Byron_Marine_Park","Mackerel Boulder","outer",-28.604968,153.628609,NA,"12.5","10","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","AU18","AU18_0332",NA,"BB332",NA,"Sampayo","unpublished","2018","2018","43357","44866","Wizard/spin.col.cl.2024","Doropoulos","hard_coral","Scleractinia","Dendrophylliidae","Turbinaria","Turbinaria_patula",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nNSW","Tweed","Byron_Marine_Park","Mackerel Boulder","outer",-28.604968,153.628609,NA,"12.5","10","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
