location,site,site.additional.info,site.code,location.code,subregion,date,sampleID.range,Lat,Lon,L.alt,Ln.alt,Alt.grid,notes
Keppel_Islands,Big_Peninsula,,KI_BP,KI,sGBR,21/9/2018,"632, 637, 645-650, 654-659, 661-666, 681-684, 689, 711-726",-23.148186,150.975258,,,,
Keppel_Islands,Passage_Rock,,KI_PR,KI,sGBR,22/9/2018,"667-678, 685-688, 690-705, 727-736",-23.164222,150.922291,,,,
Keppel_Islands,Humpy_Island,,KI_HI,KI,sGBR,22/9/2018,"227, 290, 518-520, 551-600, 614-631, 633-644, 651-653, 660",-23.211456,150.966506,,,,
Heron_Island,Tenements_1,,HI_T1,HI,sGBR,24/9/2018,"679, 680, 706-710, 737-769, 771-826",-23.433267,151.931433,,,,
Heron_Island,Tenements_2,,HI_T2,HI,sGBR,24/9/2018,,-23.433267,151.929,,,,
Lady_Musgrave,Lady_Musgrave,no_site_name,LM,LM,sGBR,25/9/2018,"757-761 (761 twice), 827-854, 861-882, 891-895, 911-919",-23.905045,152.388467,,,,
Lady_Elliot,Lady_Elliot,no_site_name,LEI,LEI,sGBR,27/9/2018,"855-860, 883-908, 920-960 (unsure if 960 exists), 971-974",-24.111928,152.710159,,,,
Rodds_Bay,Hummock_Hill,,HH,HH,sGBR,29/9/2018,"970, 1031-1040, 1055-1063, 1079-1100, 1111-112, 1114, 1115, 1117, 1141-1147",-23.994865,151.479687,,,,
Rodds_Bay,Clewes_Point,,CP,CP,sGBR,28/9/2018,"909, 910, 961-967, 975-979, 991-998, 1041-1046, 1071-1078",-24.001205,151.741277,-23.9855556,151.7169444,"check grid, can use ""23.9855556, 151.7169444"" (CP and PC will be the same)",
Rodds_Bay,Pancake_Creek,,PC,PC,sGBR,28/9/2018,"967, 969, 981-990, 999 (?), 1000-1030, 1047-1054",-24.020644,151.742248,-23.9855556,151.7169444,"check grid, can use ""23.9855556, 151.7169444"" (CP and PC will be the same)",
Mudjimba,Mudjimba,no_site_name,MJ,MJ,seQLD,3/10/2018,"1064-1070, 1101-1110, 1113, 1116, 1118-1138, 1148-1167, 1171-1182, 1191-1196, 1198",-26.614718,153.113246,,,,
Cape_Moreton,Flinders_Reef,NW_Flinders_Reef,FLD_NW,FLD,seQLD,19/9/2018,"456-460, 485, 488-490, 504-517, 521-550, 601-613",-26.978119,153.48416,,,,
Moreton_Bay,Flat_Rock,,FR,FR,seQLD,16/9/2018,"280, 289, 328-330(?), 345-360, 371-381, 385-423, 441, 442, 445",-27.391369,153.551682,,,,
Moreton_Bay,Shag_Rock,Coral_Patch,SR_CP,SR,seQLD,17/9/2018,"345-360, 371-381, 385-423, 441, 442, 445",-27.414148,153.525186,,,,
Byron_Marine_Park,Julian_Rocks,,BB_JR,BB,nNSW,14/9/2018,"275, 277-279 (278 and 279 may be mixed up), 284-288, 318-320, 333-344, 361-370, 382-384",-28.610826,153.628258,,,,
Byron_Marine_Park,Mackerel_Boulder,,BB_MB,BB,nNSW,14/9/2018,"250-260, 321-327, 331, 332",-28.604968,153.628609,,,,
North_Solitary_Island,Anemone_Bay,,NSI_AB,NSI,SIMP,11/9/2018,"51-60. 76, 88-127, 129-141, 151-163",-29.923526,153.38793,-29.921439,153.38793,"check grid, can use ""-29.921439, 153.38793""",
NW_Solitary_Island,Manta_Mooring,,NWSI_MM,NWSI,SIMP,12/9/2018,"142-150, 164-189, 191-197, 201-217, 221-227, 231-237",-30.017667,153.269417,-30.01675,153.269417,"check grid, can use ""-30.01675, 153.269417""",
S_Solitary_Island,Gantry,,SSI_GAN,SSI,SIMP,13/9/2018,"190, 198-200, 128, 218-220, 228-230, 238-249, 261-276, 281-283, 291-317",-30.204889,153.265194,,,,
Split Solitary Island,Pomfrey_Point,N_Split_Solitary_Island,SPLIT_PP,SpSI,SIMP,10/9/2018,"21-30, 43-50, 73-87",-30.2384,153.17961,,,,
Split Solitary Island,Turtle_Cove,S_Split_Solitary_Island,SPLIT_TC,SpSI,SIMP,10/9/2018,"1-20, 31-42, 61-72",-30.24195,153.181583,,,check grid,
